,3
0,Industry_name_NZSIOC
1,All industries
2,All industries
3,All industries
4,All industries
5,All industries
6,All industries
7,All industries
8,All industries
9,All industries
10,All industries
11,All industries
12,All industries
13,All industries
14,All industries
15,All industries
16,All industries
17,All industries
18,All industries
19,All industries
20,All industries
21,All industries
22,All industries
23,All industries
24,All industries
25,All industries
26,All industries
27,All industries
28,All industries
29,All industries
30,All industries
31,All industries
32,Horticulture and Fruit Growing
33,Horticulture and Fruit Growing
34,Horticulture and Fruit Growing
35,Horticulture and Fruit Growing
36,Horticulture and Fruit Growing
37,Horticulture and Fruit Growing
38,Horticulture and Fruit Growing
39,Horticulture and Fruit Growing
40,Horticulture and Fruit Growing
41,Horticulture and Fruit Growing
42,Horticulture and Fruit Growing
43,Horticulture and Fruit Growing
44,Horticulture and Fruit Growing
45,Horticulture and Fruit Growing
46,Horticulture and Fruit Growing
47,Horticulture and Fruit Growing
48,Horticulture and Fruit Growing
49,Horticulture and Fruit Growing
50,Horticulture and Fruit Growing
51,Horticulture and Fruit Growing
52,Horticulture and Fruit Growing
53,Horticulture and Fruit Growing
54,Horticulture and Fruit Growing
55,Horticulture and Fruit Growing
56,Horticulture and Fruit Growing
57,Horticulture and Fruit Growing
58,Horticulture and Fruit Growing
59,Horticulture and Fruit Growing
60,Horticulture and Fruit Growing
61,Horticulture and Fruit Growing
62,Horticulture and Fruit Growing
63,Horticulture and Fruit Growing
64,Horticulture and Fruit Growing
65,Horticulture and Fruit Growing
66,Horticulture and Fruit Growing
67,Horticulture and Fruit Growing
68,Horticulture and Fruit Growing
69,Horticulture and Fruit Growing
70,Horticulture and Fruit Growing
71,Horticulture and Fruit Growing
72,Horticulture and Fruit Growing
73,Horticulture and Fruit Growing
74,Horticulture and Fruit Growing
75,Horticulture and Fruit Growing
76,Horticulture and Fruit Growing
77,Horticulture and Fruit Growing
78,Horticulture and Fruit Growing
79,Horticulture and Fruit Growing
80,Horticulture and Fruit Growing
81,Horticulture and Fruit Growing
82,Horticulture and Fruit Growing
83,Horticulture and Fruit Growing
84,Horticulture and Fruit Growing
85,Horticulture and Fruit Growing
86,Horticulture and Fruit Growing
87,Horticulture and Fruit Growing
88,Horticulture and Fruit Growing
89,Horticulture and Fruit Growing
90,Horticulture and Fruit Growing
91,Horticulture and Fruit Growing
92,"Sheep, Beef Cattle and Grain Farming"
93,"Sheep, Beef Cattle and Grain Farming"
94,"Sheep, Beef Cattle and Grain Farming"
95,"Sheep, Beef Cattle and Grain Farming"
96,"Sheep, Beef Cattle and Grain Farming"
97,"Sheep, Beef Cattle and Grain Farming"
98,"Sheep, Beef Cattle and Grain Farming"
99,"Sheep, Beef Cattle and Grain Farming"
100,"Sheep, Beef Cattle and Grain Farming"
101,"Sheep, Beef Cattle and Grain Farming"
102,"Sheep, Beef Cattle and Grain Farming"
103,"Sheep, Beef Cattle and Grain Farming"
104,"Sheep, Beef Cattle and Grain Farming"
105,"Sheep, Beef Cattle and Grain Farming"
106,"Sheep, Beef Cattle and Grain Farming"
107,"Sheep, Beef Cattle and Grain Farming"
108,"Sheep, Beef Cattle and Grain Farming"
109,"Sheep, Beef Cattle and Grain Farming"
110,"Sheep, Beef Cattle and Grain Farming"
111,"Sheep, Beef Cattle and Grain Farming"
112,"Sheep, Beef Cattle and Grain Farming"
113,"Sheep, Beef Cattle and Grain Farming"
114,"Sheep, Beef Cattle and Grain Farming"
115,"Sheep, Beef Cattle and Grain Farming"
116,"Sheep, Beef Cattle and Grain Farming"
117,"Sheep, Beef Cattle and Grain Farming"
118,"Sheep, Beef Cattle and Grain Farming"
119,"Sheep, Beef Cattle and Grain Farming"
120,"Sheep, Beef Cattle and Grain Farming"
121,"Sheep, Beef Cattle and Grain Farming"
122,"Sheep, Beef Cattle and Grain Farming"
123,"Sheep, Beef Cattle and Grain Farming"
124,"Sheep, Beef Cattle and Grain Farming"
125,"Sheep, Beef Cattle and Grain Farming"
